"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C6,C9","3","470uF/50V","","","","Capacitor_SMD:CP_Elec_10x10.5",""
"C2,C4,C5,C10","4","220uF/50V","","","","Capacitor_SMD:CP_Elec_10x10.5",""
"C3,C11,C12","3","10uF/25V","","","","Capacitor_SMD:CP_Elec_4x4.5",""
"C7","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C8,C17,C20","3","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C13,C14,C19","3","1nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C15","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C16,C18","2","100uF","","","","Capacitor_SMD:CP_Elec_6.3x5.4","~"
"D1,D3,D6,D8","4","SS54-HF","","","","SS54-HF:DIOM5025X220N",""
"D2,D4,D5,D7,D21","5","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"F1","1","4527","","","","LIB:FUSE_4527",""
"J1","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Molex-105017-0001","~"
"J2,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15","13","Conn_01x04","","","","B4B-XH-A_LF__SN_:JST_B4B-XH-A_LF__SN_","~"
"J3","1","USB_A","","","","Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal","~"
"J16","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right","~"
"J20","1","USB_A","","","","Connector_USB:USB_A_Kycon_KUSBX-AS1N-B_Horizontal","~"
"J21","1","Screw_Terminal_01x04","","","","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal","~"
"JP1","1","SolderJumper_2_Open","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"L1,L2,L3","3","CDRH105RNP-4R7NC","","","","CDRH105RNP-4R7NC:IND_CDRH105RNP-4R7NC",""
"Q1,Q2","2","BC847","","","","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
